cell,diameter_mm,frequency_hz,replicate,fold_symmetry,pdf_page,mean_intensity,contrast,entropy_bits,radial_peak_count,center_to_mid_ratio,outer_to_mid_ratio,angular_texture_harmonic,angular_texture_concentration,radial_profile_std,visual_note
medium,24.25,50,1,8,14,0.3526934087276459,0.20569849014282227,4.551206743706343,3,0.7849010652563431,1.2126359156396813,4,0.12090419977903366,0.050672341138124466,8-fold printed classification; balanced-center; moderate-radial-banding; medium contrast; high texture
medium,24.25,50,2,unclassified,14,0.32566046714782715,0.23369595408439636,4.599221042002248,1,1.8143598575868567,1.069498735390065,3,0.2927858829498291,0.08191241323947906,unclassified/indistinct in printed atlas; bright-center; radially-simple; high contrast; high texture
medium,24.25,50,3,unclassified,14,0.23019596934318542,0.2166280299425125,4.074406809159873,1,1.610284492340801,1.2302072725053335,3,0.22658003866672516,0.05618276074528694,unclassified/indistinct in printed atlas; bright-center; radially-simple; medium contrast; low texture
medium,24.25,51,1,unclassified,14,0.3027666211128235,0.18378666043281555,4.3736899663283015,5,1.137542497169674,0.9170452010612475,3,0.12130024284124374,0.05366997420787811,unclassified/indistinct in printed atlas; balanced-center; ring-rich; low contrast; medium texture
medium,24.25,51,2,unclassified,14,0.25986579060554504,0.2079715132713318,4.406511940921133,3,1.085205604873689,1.0925899917576984,3,0.21570436656475067,0.0329551100730896,unclassified/indistinct in printed atlas; balanced-center; moderate-radial-banding; medium contrast; medium texture
medium,24.25,51,3,2,14,0.29106926918029785,0.2382148653268814,4.543082860874676,2,1.644063467748265,1.1040845301176399,3,0.2812351882457733,0.07372310757637024,2-fold printed classification; bright-center; moderate-radial-banding; high contrast; high texture
medium,24.25,52,1,unclassified,14,0.3598705232143402,0.18651793897151947,4.524947028419642,2,1.2526172623730174,1.0793069235998936,5,0.09831985086202621,0.04383863881230354,unclassified/indistinct in printed atlas; balanced-center; moderate-radial-banding; low contrast; high texture
medium,24.25,52,2,unclassified,14,0.26261016726493835,0.2007312923669815,4.423272261034815,3,1.1746155826116784,1.1339998825928919,3,0.2679540514945984,0.02385304868221283,unclassified/indistinct in printed atlas; balanced-center; moderate-radial-banding; low contrast; medium texture
medium,24.25,52,3,unclassified,14,0.3091190457344055,0.25133147835731506,4.609059820161523,3,1.5679062486875648,0.9180715513722435,3,0.29754549264907837,0.0744347795844078,unclassified/indistinct in printed atlas; bright-center; moderate-radial-banding; high contrast; high texture
medium,24.25,53,1,unclassified,14,0.3047214448451996,0.19130341708660126,4.433979299530305,2,0.9672180090479916,1.137939320392262,3,0.14096352458000183,0.04133104532957077,unclassified/indistinct in printed atlas; balanced-center; moderate-radial-banding; low contrast; medium texture
medium,24.25,53,2,unclassified,14,0.2922962009906769,0.2526175081729889,4.499055436003651,2,1.2781359669954921,1.178389109746325,3,0.26654285192489624,0.043936047703027725,unclassified/indistinct in printed atlas; balanced-center; moderate-radial-banding; high contrast; high texture
